Start Date,End Date,Country Name,ISO,Location,Latitude,Longitude,Magnitude Value,Magnitude Scale,Disaster Type,Disaster subtype,Total deaths,Total affected,Total damage ($),Disaster Name,Disaster Year,Disaster No.
2/9/09,8/9/09,Philippines (the),PHL,"Botolan area (Zambales district, Region III (Central Luzon) province), Pilar, Morong, Hermosa, Dinalupihan areas (Bataan district, Region III (Central Luzon) province), Sibalom area (Antique district, Region VI (Western Visayas) province), San Erique, Pontevedra, La Carlota City, Valladolid, Hinigaran areas (Negros Occidental district, Region VI (Western Visayas) province), Bayawan city (Negros Oriental district, Region VII (Central Visayas) province)",,,,Kph,Storm,Tropical cyclone,1,95700,,LABUYO (DUJUAN),2009,2009-0360
8/9/09,9/9/09,Philippines (the),PHL,"Botolan, Iba, San Antonio, San Felipe, San Marcelino areas (Zambales district, Region III (Central Luzon) province), Abucay, Bagac, Dinalupihan, Hermosa, Morong, Pilar, Samal areas (Bataan district, Region III (Central Luzon) province), Apalit, Arayat, Bacolor, Floridabanca, Guagua, Lubao, Masantol, Mexico, Minalin, San Luis, Sasmuan, Stanta Ana, Santo Thomas areas (Pampanga district, Region III (Central Luzon) province), Balagtas, Calumpit, Guiguinto, Marilao, Meycauayan, San Miguel areas (Bulacan district, Region III (Central Luzon) province), Calamba city (Laguna district, Region IV-A (Calabarzon) province)",,,,Kph,Storm,Tropical cyclone,15,388373,6303,MARING,2009,2009-0373
12/9/09,13/09/2009,Philippines (the),PHL,"Santa Teresita area (Cagayan district, Region II (Cagayan Valley) province), Silang area (Cavite district, Region IV-A (Calabarzon) province), Santa Cruz, Bay, Los Banos, Santa Rosa, Calamba, Banan, San Pedro areas (Laguna district, Region IV-A (Calabarzon) province), Pasil area (Kalinga district, Cordillera Administrative region (CAR) province)",,,,Kph,Storm,Tropical cyclone,3,48333,,NANDO,2009,2009-0374
24/09/2009,27/09/2009,Philippines (the),PHL,"Bolinao, Sual, Dagupan areas (Pangasinan district, Region I (Ilocos region) province), Rizal, Cabarroguis areas (Quirino district, Region II (Cagayan Valley) province), Mandaluyong, Manila, Marikina, Muntinlupa, Navotas, Paranaque, Pasig, Las Pinas, Caloocan, Makati, Valenzuela, Malabon, Pateros, Quezon, Taguig, San Juan, Pasay areas (Metropolitan Manila district, National Capital region (NCR) province), Balanga, Orani, Mariveles, Hermosa areas (Bataan district, Region III (Central Luzon) province), Angat, Balagtas, Baliwag, Bocaue, Bulacan, Bustos, Calumpit, Guiguinto, Hagonoy, Malolos, Marilao, Meycauayan, Plaridel, San Miguel areas (Bulacan district, Region III (Central Luzon) province), Arayal, Bacolor, Lubao, Mabelacat, San Simon, San Luis, San Fernando city, Sto.Tomas, Floridablanca, Sta.Rita areas (Pampanga district, Region III (Central Luzon) province), Licab area (Nueva Ecija district, Region III (Central Luzon) province), Magsaysay, San Jose areas (Mindoro Occidental district, Region IV (Southern Tagalog) province), Naga City, Sangay, Pasacao areas (Camarines Sur district, Region V (Bicol region) province), San Pascuan area (Masbate district, Region V (Bicol region) province), Pioduran area (Albay district, Region V (Bicol region) province), Pilar area (Sorsogon district, Region V (Bicol region) province), Zamboanga city (Zamboanga Del Sur district, Region IX (Zamboanga Peninsula) province), Kalamasig area (Sultan Kudarat district, Region XII (Soccsksargen) province), Kabugao area (Apayao district, Cordillera Administrative region (CAR) province), Kabayan area (Benguet district, Cordillera Administrative region (CAR) province), Region IV-A (Calabarzon) province",,,,Kph,Storm,Tropical cyclone,501,4901763,237489,ONDOY (KETSANA),2009,2009-0414
28/09/2009,29/09/2009,Viet Nam,VNM,"Binh Dinh, Da Nang City, Dak Lak, Gia Lai, Ha Tinh, Thua Thien - Hue, Kon Tum, Lam Dong, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Tri provinces",,,170,Kph,Storm,Tropical cyclone,182,2477315,785000,ONDOY (KETSANA),2009,2009-0414
29/09/2009,30/09/2009,Cambodia,KHM,"Kampong Thom, Kratie, Mondul Kiri, Preah Vihear, Ratanak Kiri, Stung Treng provinces",,,,Kph,Storm,Tropical cyclone,17,178091,,ONDOY (KETSANA),2009,2009-0414
29/09/2009,1/10/09,Lao People's Democratic Republic (the),LAO,"Attapu, Xekong, Savannakhet, Salavan provinces",,,,Kph,Storm,Tropical cyclone,16,128887,100000,ONDOY (KETSANA),2009,2009-0414
29/09/2009,10/10/09,Philippines (the),PHL,"Isabela, Nueva Vizcaya, Cagayan districts (Region II (Cagayan Valley) province), Quezon district (Region IV-A (Calabarzon) province), Albay, Camarines Sur, Catanduanes, Sorsogon districts (Region V (Bicol region) province), Negros Occidental district (Region VI (Western Visayas) province), Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region III (Central Luzon) provinces",17.57,121.42,145,Kph,Storm,Tropical cyclone,512,4478491,585379,PEPENG (PARMA),2009,2009-0422
14/10/2009,14/10/2009,Viet Nam,VNM,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai provinces",,,,Kph,Storm,Tropical cyclone,,,200,PEPENG (PARMA),2009,2009-0422
2/11/09,2/11/09,Viet Nam,VNM,"Binh Dinh, Phu Yen, Khanh Hoa, Ninh Thuan, Dak Lak, Quang Nam, Quang Ngai, Kon Tum, Gia Lai provinces",,,140,Kph,Storm,Tropical cyclone,124,500145,280000,MIRINAE (SANTI),2009,2009-0478
28/10/2009,28/10/2009,Philippines (the),PHL,"Aurora, Bataan, Bulacan districts (Region III (Central Luzon) province), Mindoro Occidental, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Albay, Camarines Norte, Camarines Sur districts (Region V (Bicol region) province), National Capital region (NCR), Region IV-A (Calabarzon) province",,,140,Kph,Storm,Tropical cyclone,39,802175,15194,MIRINAE (SANTI),2009,2009-0478
2/11/09,3/11/09,Cambodia,KHM,Kaoh Nheaek district (Mondul Kiri province),,,,Kph,Storm,Tropical cyclone,2,,,MIRINAE (SANTI),2009,2009-0478
25/11/2009,25/11/2009,Philippines (the),PHL,"Agusan del Norte district (Region XIII (Caraga) province), Region VII (Central Visayas), Region X (Northern Mindanao) provinces",,,,Kph,Storm,Tropical cyclone,4,48142,12,URDUJA,2009,2009-0521
1/8/09,3/8/09,Philippines (the),PHL,"Panay area (Capiz district, Region VI (Western Visayas) province), Negros Occidental, Negros Oriental districts (Region VII (Central Visayas) province), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",,,,Kph,Storm,Tropical cyclone,14,221422,2888,GONI (JOLINA),2009,2009-0606
